frame_separation,n_pairs,median_deg,p90_deg,max_deg
1,1155,0.8028643110073782,2.8469410231272216,18.506664283356002
2,1078,1.2362692674835727,3.4584225678818545,18.68756676852669
3,1001,1.7732355767060253,4.65011611167948,18.93567338873651
4,924,2.288643489707697,17.052652933443184,19.224442207166284
5,847,2.7494899019546493,17.33446616521503,19.23009500656971
6,770,3.319498489423766,17.569469956806653,19.43759441562663
7,693,3.835872941996205,17.844272954244488,19.302428868278184
8,616,4.409492850544292,18.028289774588814,19.824269654662803
9,539,4.771511500552356,18.12351133062102,19.371442970676263
10,462,5.178087767075652,18.224460516988255,19.419834418345022
11,385,5.81661925002386,18.371957919040376,19.747278238322814
12,308,5.9373514180373945,18.69182357436922,19.744641191893574
13,231,6.177268239825547,18.676072896279546,19.588561784849826
14,154,6.219659127653976,18.821697319661567,19.773433108281605
15,77,6.222170203583733,18.709557809546748,19.624340195292913
