sequence_id,pose_fail,proxy_model,frame_idx,anchor_value
plantview__langdon_4__05-03-24,False,da3,0,0.5012101196600554
plantview__langdon_4__05-03-24,False,da3,1,0.5118607701720117
plantview__langdon_4__05-03-24,False,da3,2,0.5534147796947135
plantview__langdon_4__05-03-24,False,da3,3,0.581244447114554
plantview__langdon_4__05-03-24,False,da3,4,0.5723151804869464
plantview__langdon_4__05-03-24,False,da3,5,0.6351448916298936
plantview__langdon_4__05-03-24,False,da3,6,0.632957036984156
plantview__langdon_4__05-03-24,False,da3,7,0.6688942604127708
plantview__langdon_4__05-03-24,False,da3,8,0.7775967750857932
plantview__langdon_4__05-03-24,False,da3,9,0.7870452069649142
plantview__langdon_4__05-03-24,False,da3,10,0.8038415015350836
plantview__langdon_4__05-03-24,False,da3,11,0.8289108571738302
plantview__langdon_4__05-03-24,False,da3,12,0.8431239559135228
plantview__langdon_4__05-03-24,False,da3,13,0.8290430685656394
plantview__langdon_4__05-03-24,False,da3,14,0.8075849611223279
plantview__langdon_4__05-03-24,False,da3,15,0.8015057997038159
plantview__langdon_4__05-03-24,False,da3,16,0.8313173584135956
plantview__langdon_4__05-03-24,False,da3,17,0.8385164394054164
plantview__langdon_4__05-03-24,False,da3,18,0.869718923846971
plantview__langdon_4__05-03-24,False,da3,19,0.8714355673678251
plantview__langdon_4__05-03-24,False,da3,20,0.85163667140928
plantview__langdon_4__05-03-24,False,da3,21,0.7791968011344672
plantview__langdon_4__05-03-24,False,da3,22,0.7914548685301837
plantview__langdon_4__05-03-24,False,da3,23,0.8581421852823672
plantview__langdon_4__05-03-24,False,da3,24,0.7247819210522919
plantview__langdon_4__05-03-24,False,da3,25,0.678090821580133
plantview__langdon_4__05-03-24,False,da3,26,0.6279080964166213
plantview__langdon_4__05-03-24,False,da3,27,0.6430500375963522
plantview__langdon_4__05-03-24,False,da3,28,0.6304142086219694
plantview__langdon_4__05-03-24,False,da3,29,0.6287068948441603
plantview__langdon_4__05-03-24,False,da3,30,0.5412044550165707
plantview__langdon_4__05-03-24,False,da3,31,0.5816587118497254
plantview__langdon_4__05-03-24,False,da3,32,0.5946116422643979
plantview__langdon_4__05-03-24,False,da3,33,0.5624932864177195
plantview__langdon_4__05-03-24,False,da3,34,0.6441530352399268
plantview__langdon_4__05-03-24,False,da3,35,0.5803442709962678
plantview__langdon_4__05-03-24,False,da3,36,0.6272841420918741
plantview__langdon_4__05-03-24,False,da3,37,0.6479756341935199
plantview__langdon_4__05-03-24,False,da3,38,0.6906913599283068
plantview__langdon_4__05-03-24,False,da3,39,0.7545150069034614
plantview__langdon_4__05-03-24,False,da3,40,0.8301075126041833
plantview__langdon_4__05-03-24,False,da3,41,0.785662103227212
plantview__langdon_4__05-03-24,False,da3,42,0.8572707930587462
plantview__langdon_4__05-03-24,False,da3,43,0.8914070597692936
plantview__langdon_4__05-03-24,False,da3,44,0.9182676376545942
